date,amount_raw,amount,currency,operation,details,bank,source_file,amount_abs,business_type,business_name,address,city,country,oked_code,oked_description,category
2025-07-07,"-2,008.00 ₸",-2008.0,KZT,Acquiring,GALMART DOSTYK SUPERMA 7 ALMATY,Freedom Bank Kazakhstan,freedom_en.pdf,2008.0,,GALMART,DOSTYK SUPERMA 7,ALMATY,,,"Прочая деятельность в области здравоохранения, не включенная в другие группировки",покупки
2025-07-07,"-5,450.00 ₸",-5450.0,KZT,Acquiring,QSR LLP. DOSTYK PLAZA Almaty,Freedom Bank Kazakhstan,freedom_en.pdf,5450.0,LLP,QSR,DOSTYK PLAZA,ALMATY,,,Деятельность такси,покупки
2025-07-07,-700.00 ₸,-700.0,KZT,Acquiring,FREEDOM TRAVEL ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,700.0,,FREEDOM TRAVEL,,ALMATY,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-07-09,+5.35 $,5.35,USD,Acquiring,"Возврат. Отмена покупки CURSOR, AI",Freedom Bank Kazakhstan,freedom_en.pdf,5.35,,Возврат Отмена покупки CURSOR,,,AI,,,переводы
2025-07-11,"-7,000.00 ₸",-7000.0,KZT,Acquiring,OSTROVOK ASTANA CASES ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,7000.0,,OSTROVOK ASTANA CASES,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-07-11,"-7,310.00 ₸",-7310.0,KZT,Acquiring,JetPay Dodopizza.kz NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,7310.0,,JetPay Dodopizza,,ASTANA,KZ,,"Розничная торговля фруктами и овощами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",рестораны и кафе
2025-07-12,"-11,000.00 ₸",-11000.0,KZT,Acquiring,OKADZAKI.KZ ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,11000.0,,OKADZAKI,,ASTANA,KZ,,,покупки
2025-07-12,-250.00 ₸,-250.0,KZT,Acquiring,IP AYASHEVA GULDANA LES EK,Freedom Bank Kazakhstan,freedom_en.pdf,250.0,IP,AYASHEVA GULDANA LES,,,EK,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-07-15,"-1,300.00 ₸",-1300.0,KZT,Acquiring,TOO ASTANA CAKE SHOPS STANA,Freedom Bank Kazakhstan,freedom_en.pdf,1300.0,TOO,ASTANA CAKE SHOPS STANA,,ASTANA,,,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-07-19,"-1,880.00 ₸",-1880.0,KZT,Acquiring,BAIGULINOVA ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1880.0,,BAIGULINOVA,,ASTANA,KZ,,Образование в области культуры,покупки
2025-07-19,"-2,793.00 ₸",-2793.0,KZT,Acquiring,SMALLAST11 SUPERMARK ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,2793.0,,SMALLAST11 SUPERMARK,,ASTANA,KZ,,Розничная торговля путем заказа товаров по почте или через сеть Интернет,покупки
2025-07-19,"-3,911.00 ₸",-3911.0,KZT,Acquiring,LEONARDO NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3911.0,,LEONARDO,,ASTANA,KZ,,Деятельность в области кибербезопасности,рестораны и кафе
2025-07-19,"-4,500.00 ₸",-4500.0,KZT,Acquiring,MAGAZIN PRODUKTY ASTANA Q. KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4500.0,,MAGAZIN PRODUKTY,,ASTANA,KZ,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-07-22,"-4,960.00 ₸",-4960.0,KZT,Acquiring,COFFEE BAR ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4960.0,,COFFEE BAR,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",рестораны и кафе
2025-07-23,+511.01 ₸,511.01,KZT,Others,Плательщик:Арстангалиев Рауан Арманұлы Получатель:Арстангалиев Рауан Арманұлы Назначение: Выплата вклада по Договору № KZ36551H600021776KZT от 29.05.2025. Вкладчик: Арстангалиев Рауан Арманұлы,Freedom Bank Kazakhstan,freedom_en.pdf,511.01,,,,,,,,переводы
2025-07-23,-640.00 ₸,-640.0,KZT,Acquiring,TOO JOE PESCI ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,640.0,TOO,JOE PESCI,,ASTANA,KZ,,"Прочая розничная торговля продуктами питания в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-07-23,"-41,899.00 ₸",-41899.0,KZT,Acquiring,TANGIERS LOUNGE EC ASTANA Nur-Sultan,Freedom Bank Kazakhstan,freedom_en.pdf,41899.0,,TANGIERS LOUNGE EC ASTANA,,ASTANA,,,"Прочая деятельность по обеспечению питанием, не включенная в другие группировки",покупки
2025-07-24,+50.00 ₸,50.0,KZT,Replenishment,Пополнение. Возврат денег за заказ 3747623,Freedom Bank Kazakhstan,freedom_en.pdf,50.0,,,,,,,,покупки
2025-07-28,+450.00 ₸,450.0,KZT,Replenishment,Тулешов Бектайыр Бахыткерейулы . Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,450.0,,,,,,,,переводы
2025-08-02,"-1,300.00 ₸",-1300.0,KZT,Acquiring,BAMBINO 1 CAFE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1300.0,,BAMBINO CAFE,,ASTANA,KZ,,Прочие виды деятельности по организации отдыха и развлечений,покупки
2025-08-02,"-4,250.00 ₸",-4250.0,KZT,Acquiring,SMART RESTAURANTS ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4250.0,,SMART RESTAURANTS,,ALMATY,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-08-04,-560.00 ₸,-560.0,KZT,Others,Плательщик:Арстангалиев Рауан Арманұлы Получатель:Филиал АО Фридом Банк Казахстан в г. Тараз Назначение: Дата транзакции: 04.08.2025 Код авторизации: 817608 Номер карты: 4002********0477 Сумма транзакции: 560 KZT Операция: Покупка с нашей карты в чужом устройстве 010012000285123\KAZ\S.IM.B. MOMY&gt;H\IP BERSINOVA Учетный курс 537.53,Freedom Bank Kazakhstan,freedom_en.pdf,560.0,,,,,,,,переводы
2025-08-14,"-2,400.00 ₸",-2400.0,KZT,Transfer,Лукманов Ислам Ильмирович Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,2400.0,,,,,,,,переводы
2025-08-15,"-4,500.00 ₸",-4500.0,KZT,Acquiring,IP TULEGENOV ARKALYK KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4500.0,IP,TULEGENOV,,ARKALYK,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-08-16,-249.00 ₸,-249.0,KZT,Payment,ТОО Arbuz Group Арбуз Груп За оплату билета заказ 3839164,Freedom Bank Kazakhstan,freedom_en.pdf,249.0,TOO,Arbuz Group Арбуз Груп За оплату билета заказ,,,,,,покупки
2025-08-16,"-7,202.00 ₸",-7202.0,KZT,Acquiring,CREPECAFE CAFE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,7202.0,,CREPECAFE CAFE,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-08-20,"-1,650.00 ₸",-1650.0,KZT,Acquiring,BASCONI BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1650.0,,BASCONI BOUTIQUE,,ASTANA,KZ,,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-08-20,"-2,136.00 ₸",-2136.0,KZT,Acquiring,SUMMER LOVE FROZEN YOGUR ASTANA,Freedom Bank Kazakhstan,freedom_en.pdf,2136.0,,SUMMER LOVE FROZEN YOGUR,,ASTANA,,,Розничная торговля путем заказа товаров по почте или через сеть Интернет,покупки
2025-08-20,"-1,040.00 ₸",-1040.0,KZT,Acquiring,IP DANA ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1040.0,IP,DANA,,ASTANA,KZ,,"Аренда (субаренда) и управление собственными или арендованными бизнес-центром, офисными помещениями, административным зданием",покупки
2025-09-01,"-26,300.00 ₸",-26300.0,KZT,Acquiring,EXTAZ.KZ BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,26300.0,,EXTAZ KZ BOUTIQUE,,ASTANA,KZ,,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",рестораны и кафе
2025-09-03,"-1,400.00 ₸",-1400.0,KZT,Acquiring,IP SUNNATOVA ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1400.0,IP,SUNNATOVA,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-09-05,"-3,000.00 ₸",-3000.0,KZT,Payment,ТОО Ticketon Events Тикетон Евентс За оплату заказа Тикетон,Freedom Bank Kazakhstan,freedom_en.pdf,3000.0,TOO,Ticketon Events Тикетон Евентс За оплату заказа Тикетон,,,,,,покупки
2025-09-06,-140.00 ₸,-140.0,KZT,Acquiring,TOO KIKIS MS NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,140.0,TOO,KIKIS MS,,ASTANA,KZ,,"Производство прочих пищевых продуктов, не включенных в другие группировки",покупки
2025-09-13,"-9,270.00 ₸",-9270.0,KZT,Acquiring,LANZHOU TRTS AZIYA PARK ASTANA,Freedom Bank Kazakhstan,freedom_en.pdf,9270.0,,LANZHOU TRTS,AZIYA PARK,ASTANA,,,Строительство жилых зданий,покупки
2025-09-15,-200.00 ₸,-200.0,KZT,Acquiring,FOOD SOLUTIONS KZ RESTAU ASTANA,Freedom Bank Kazakhstan,freedom_en.pdf,200.0,,FOOD SOLUTIONS KZ RESTAU,,ASTANA,,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-09-15,-559.00 ₸,-559.0,KZT,Acquiring,MAGNUM CASH CARRY NF46 NUR-SULTAN,Freedom Bank Kazakhstan,freedom_en.pdf,559.0,,MAGNUM CASH CARRY NF46,,ASTANA,,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",супермаркеты
2025-09-18,"-6,200.00 ₸",-6200.0,KZT,Acquiring,ALYE PARUSA MEGA SILK WAY,Freedom Bank Kazakhstan,freedom_en.pdf,6200.0,,ALYE PARUSA,MEGA SILK WAY,,,,Другие виды деятельности в области информационных технологий ,рестораны и кафе
2025-09-19,"-13,214.00 ₸",-13214.0,KZT,Acquiring,KASSA 2 NOMAD OIL 4,Freedom Bank Kazakhstan,freedom_en.pdf,13214.0,,KASSA NOMAD OIL,,,,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-09-20,"-20,449.00 ₸",-20449.0,KZT,Acquiring,TOO ARTEASY ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,20449.0,TOO,ARTEASY,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-09-22,"-2,600.00 ₸",-2600.0,KZT,Acquiring,NU.EDU.KZ NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,2600.0,,NU EDU,,ASTANA,KZ,,"Сопровождение программного обеспечения, программных продуктов, баз данных, интернет-ресурсов (сайтов), информационных систем",покупки
2025-09-23,"-3,213.00 ₸",-3213.0,KZT,Acquiring,IP ALI AZAMAT AKTOBE KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3213.0,IP,ALI AZAMAT,,AKTOBE,KZ,,Деятельность такси,покупки
2025-09-28,"-95,460.00 ₸",-95460.0,KZT,Acquiring,THE BRITISH COUNCIL 441619577755 GB,Freedom Bank Kazakhstan,freedom_en.pdf,95460.0,,THE BRITISH COUNCIL,,,GB,,"Прочая деятельность в области образования, не включенная в другие группировки",покупки
2025-09-29,"-2,850.00 ₸",-2850.0,KZT,Acquiring,TOO TA FARM ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,2850.0,TOO,TA FARM,,ASTANA,KZ,,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-09-30,-990.00 ₸,-990.0,KZT,Transfer,Алимджанов Абдуррахман Закиржанович Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,990.0,,,,,,,,переводы
2025-10-01,"-76,568.00 ₸",-76568.0,KZT,Acquiring,FINN FLARE BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,76568.0,,FINN FLARE BOUTIQUE,,ASTANA,KZ,,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-10-01,-890.00 ₸,-890.0,KZT,Acquiring,ZEBRA COFFEE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,890.0,,ZEBRA COFFEE,,ASTANA,KZ,,Художественное и литературное творчество,рестораны и кафе
2025-10-01,"-4,500.00 ₸",-4500.0,KZT,Acquiring,Bahandi Mega Silkway ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4500.0,,Bahandi,Mega Silkway,ASTANA,KZ,,Специализированная дизайнерская деятельность,покупки
2025-10-01,"-2,900.00 ₸",-2900.0,KZT,Acquiring,BURGER KING MEGA SILK WAY,Freedom Bank Kazakhstan,freedom_en.pdf,2900.0,,BURGER KING,MEGA SILK WAY,,,,"Розничная торговля цветами, комнатными растениями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",рестораны и кафе
2025-10-01,-890.00 ₸,-890.0,KZT,Acquiring,IP MUKAZHANOVA NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,890.0,IP,MUKAZHANOVA,,ASTANA,KZ,,Деятельность в области разработки и тестирования программного кода,покупки
2025-10-01,+1.49 ₸,1.49,KZT,Replenishment,Пополнение. Выплата процентов по вкладу № KZ09551H600021891KZT от 29.05.2025 за период с 01-го по 30.09.25. Вкладчик Арстангалиев Рауан Арманұлы,Freedom Bank Kazakhstan,freedom_en.pdf,1.49,,,,,,,,покупки
2025-10-02,-950.00 ₸,-950.0,KZT,Acquiring,IP MAZHITOV ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,950.0,IP,MAZHITOV,,ASTANA,KZ,,Подача напитков,покупки
2025-10-03,-310.00 ₸,-310.0,KZT,Acquiring,IP GREEN FOOD ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,310.0,IP,GREEN FOOD,,ASTANA,KZ,,Розничная торговля прочими товарами на рынках,покупки
2025-10-05,"-1,205.00 ₸",-1205.0,KZT,Acquiring,IP TOLENDI S.AKKOL KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1205.0,IP,TOLENDI S AKKOL,,AKKOL,KZ,,"Аренда (субаренда) и управление собственными или арендованными бизнес-центром, офисными помещениями, административным зданием",покупки
2025-10-07,"-1,600.00 ₸",-1600.0,KZT,Acquiring,HP CANTEEN NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1600.0,,HP CANTEEN,,ASTANA,KZ,,Рестораны и услуги по доставке продуктов питания,рестораны и кафе
2025-10-07,-20.00 $,-20.0,USD,Acquiring,CLAUDE.AI SUBSCRIPTION 14152360599 US,Freedom Bank Kazakhstan,freedom_en.pdf,20.0,,CLAUDE AI SUBSCRIPTION,,,US,,Прочие виды деятельности в области информационного обслуживания,покупки
2025-10-07,+19.76 $,19.76,USD,Acquiring,Возврат. Отмена покупки,Freedom Bank Kazakhstan,freedom_en.pdf,19.76,,Возврат Отмена покупки,,,,,Развозная и разносная розничная торговля,переводы
2025-10-08,"-4,790.00 ₸",-4790.0,KZT,Acquiring,DONER NA ABAYA MEGA ALMATY,Freedom Bank Kazakhstan,freedom_en.pdf,4790.0,,DONER NA ABAYA,MEGA,ALMATY,,,"Прочая деятельность по обеспечению питанием, не включенная в другие группировки",рестораны и кафе
2025-10-09,"-1,450.00 ₸",-1450.0,KZT,Acquiring,TOO QluQva ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1450.0,TOO,QluQva,,ASTANA,KZ,,Доставка готовой пищи на заказ,покупки
2025-10-10,-850.00 ₸,-850.0,KZT,Acquiring,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,850.0,IP,GLOBAL MANAGEMENT,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-10-12,"-1,068.00 ₸",-1068.0,KZT,Acquiring,MAGNUM.ASF46.KCO-1. ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1068.0,,MAGNUM ASF46 KCO,,ASTANA,KZ,,"Оптовая торговля прочими непродовольственными товарами потребительского назначения, не включенными в другие группировки",супермаркеты
2025-10-13,"-45,403.00 ₸",-45403.0,KZT,Acquiring,PINGWIN PREMIUM BOULING ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,45403.0,,PINGWIN PREMIUM BOULING,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-10-14,"-1,090.00 ₸",-1090.0,KZT,Acquiring,TOO KOFE LOVE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1090.0,TOO,KOFE LOVE,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-10-18,"-1,000.00 ₸",-1000.0,KZT,Acquiring,IP ELEUOV ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1000.0,IP,ELEUOV,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-10-20,"-1,300.00 ₸",-1300.0,KZT,Acquiring,GALA MARKET MINIMARKET ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1300.0,,GALA MARKET MINIMARKET,,ASTANA,KZ,,"Прочая розничная торговля в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-10-20,"-4,000.00 ₸",-4000.0,KZT,Acquiring,IP AYSHAGUL ARYS KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4000.0,IP,AYSHAGUL,,ARYS,KZ,,Предоставление услуг парикмахерскими и салонами красоты,покупки
2025-10-22,"-3,400.00 ₸",-3400.0,KZT,Acquiring,GALMART SUPERMARKET KASS ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3400.0,,GALMART SUPERMARKET KASS,,ASTANA,KZ,,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",покупки
2025-10-22,"-10,000.00 ₸",-10000.0,KZT,Transfer,Абикен Дамир Бауржанұлы Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,10000.0,,,,,,,,переводы
2025-10-22,"-3,260.00 ₸",-3260.0,KZT,Acquiring,IP SARSEN ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3260.0,IP,SARSEN,,ASTANA,KZ,,"Аренда (субаренда) и управление собственными или арендованными бизнес-центром, офисными помещениями, административным зданием",покупки
2025-10-24,"-21,340.00 ₸",-21340.0,KZT,Acquiring,IP SMAGULOVA M ASTANA Q.,Freedom Bank Kazakhstan,freedom_en.pdf,21340.0,IP,SMAGULOVA M,,ASTANA,,,Деятельность грузового автомобильного транспорта,покупки
2025-10-24,"-1,400.00 ₸",-1400.0,KZT,Acquiring,IP RN CO NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1400.0,IP,RN CO,,ASTANA,KZ,,"Розничная торговля напитками в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-10-24,-300.00 ₸,-300.0,KZT,Acquiring,HEALTH PROJECT NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,300.0,,HEALTH PROJECT,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-10-24,"-2,000.00 ₸",-2000.0,KZT,Transfer,Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,2000.0,,,,,,,,переводы
2025-10-25,+400.00 ₸,400.0,KZT,Replenishment,Лабакбай Болат Анварұлы . Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_en.pdf,400.0,,,,,,,,переводы
2025-10-26,-500.00 ₸,-500.0,KZT,Acquiring,IP ALFA GAME CLUB ASTANA,Freedom Bank Kazakhstan,freedom_en.pdf,500.0,IP,ALFA GAME CLUB,,ASTANA,,,Прочие виды деятельности по организации отдыха и развлечений,покупки
