date,amount_raw,amount,currency,operation,merchant,details,bank,source_file,category
2024-11-14,"- 200,00 KZT",-200.0,KZT,,Transfers Ақкербез Т.,Transfers Ақкербез Т.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-14,"- 4 300,00 KZT",-4300.0,KZT,,Transfers Айым Ш.,Transfers Айым Ш.,Kaspi Bank,gold_statement.pdf,переводы
2024-11-14,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-15,"- 935,00 KZT",-935.0,KZT,Покупка,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-15,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"- 150,00 KZT",-150.0,KZT,Покупка,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-15,"+ 150,00 KZT",150.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"- 300,00 KZT",-300.0,KZT,Перевод,Анель А.,Анель А.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"+ 300,00 KZT",300.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"- 250,00 KZT",-250.0,KZT,Покупка,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-15,"+ 200,00 KZT",200.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"- 5 525,00 KZT",-5525.0,KZT,Покупка,AMIGOPIZZA.KZ,AMIGOPIZZA.KZ,Kaspi Bank,gold_statement (2).pdf,рестораны и кафе
2024-11-15,"+ 5 500,00 KZT",5500.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-15,"- 700,00 KZT",-700.0,KZT,,Transfers Едіге Ə.,Transfers Едіге Ə.,Kaspi Bank,gold_statement (3).pdf,покупки
2024-11-15,"- 599,00 KZT",-599.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2024-11-15,"- 800,00 KZT",-800.0,KZT,,Purchases DailyCup,Purchases DailyCup,Kaspi Bank,gold_statement (3).pdf,рестораны и кафе
2024-11-15,"- 6 168,00 KZT",-6168.0,KZT,,Transfers Pay for Kaspi Credit,Transfers Pay for Kaspi Credit,Kaspi Bank,gold_statement (3).pdf,покупки
2024-11-15,"- 1 190,00 KZT",-1190.0,KZT,,Purchases Сенсата парк,Purchases Сенсата парк,Kaspi Bank,gold_statement.pdf,покупки
2024-11-15,"+ 2 370,00 KZT",2370.0,KZT,Пополнение,Андрей К.,Андрей К.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"+ 980,00 KZT",980.0,KZT,Пополнение,Макбал Л.,Макбал Л.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"+ 1 410,00 KZT",1410.0,KZT,Пополнение,Ануарбек И.,Ануарбек И.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"+ 1 390,00 KZT",1390.0,KZT,Пополнение,Ақниет Ə.,Ақниет Ə.,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-15,"- 3 500,00 KZT",-3500.0,KZT,Покупка,АЗС-8,АЗС-8,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-15,"- 3 000,00 KZT",-3000.0,KZT,,Снятие Банкомат Iliyasa Zhansugurova 8k1,Снятие Банкомат Iliyasa Zhansugurova 8k1,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-15,"+ 6 500,00 KZT",6500.0,KZT,Пополнение,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"- 350,00 KZT",-350.0,KZT,Перевод,Назерке Б.,Назерке Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"+ 350,00 KZT",350.0,KZT,Пополнение,Айдос Д.,Айдос Д.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-15,"- 2 000,00 KZT",-2000.0,KZT,Перевод,Ернұр Қ.,Ернұр Қ.,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-15,"+ 2 000,00 KZT",2000.0,KZT,Пополнение,Амангелді А.,Амангелді А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-16,"- 12 750,00 KZT",-12750.0,KZT,Покупка,Balgyn tort Astana,Balgyn tort Astana,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-16,"+ 13 000,00 KZT",13000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"- 2 000,00 KZT",-2000.0,KZT,Покупка,Боба Туркестан,Боба Туркестан,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-16,"+ 2 000,00 KZT",2000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"+ 200,00 KZT",200.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"- 20 000,00 KZT",-20000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"+ 20 000,00 KZT",20000.0,KZT,Пополнение,Умбигульсим А.,Умбигульсим А.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Пополнение,Фатима А.,Фатима А.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Пополнение,Адина Б.,Адина Б.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"- 5 600,00 KZT",-5600.0,KZT,Покупка,Супермаркет GALMART,Супермаркет GALMART,Kaspi Bank,gold_statement (2).pdf,супермаркеты
2024-11-16,"+ 5 600,00 KZT",5600.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"- 75 000,00 KZT",-75000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"+ 75 000,00 KZT",75000.0,KZT,Пополнение,Айым Ш.,Айым Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-16,"- 1 724,00 KZT",-1724.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2024-11-16,"- 1 360,00 KZT",-1360.0,KZT,,Purchases Апельсин,Purchases Апельсин,Kaspi Bank,gold_statement.pdf,покупки
2024-11-16,"- 8 422,91 KZT",-8422.91,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"- 9 000,00 KZT",-9000.0,KZT,Перевод,Сымбат З.,Сымбат З.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Пополнение,Сымбат З.,Сымбат З.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,Арай А.,Арай А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"- 930,00 KZT",-930.0,KZT,Покупка,Burabay,Burabay,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-16,"- 60,00 KZT",-60.0,KZT,Покупка,Бахтияр Магазин,Бахтияр Магазин,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-16,"+ 1 496,00 KZT",1496.0,KZT,Пополнение,Interpay*Taxi,Interpay*Taxi,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-16,"- 560,00 KZT",-560.0,KZT,Покупка,Мирас О,Мирас О,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-16,"+ 2 100,00 KZT",2100.0,KZT,Пополнение,Салтанат К.,Салтанат К.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 840,00 KZT",840.0,KZT,Пополнение,Индира Ж.,Индира Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 900,00 KZT",900.0,KZT,Пополнение,Yusufu A.,Yusufu A.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 1 090,00 KZT",1090.0,KZT,Пополнение,Кристина П.,Кристина П.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"- 6 500,00 KZT",-6500.0,KZT,Перевод,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-16,"+ 1 990,00 KZT",1990.0,KZT,Пополнение,Назым С.,Назым С.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"- 1 300,00 KZT",-1300.0,KZT,Перевод,Меруерт А.,Меруерт А.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 6 200,00 KZT",-6200.0,KZT,Перевод,Батырхан Ш.,Батырхан Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"+ 7 000,00 KZT",7000.0,KZT,Пополнение,Батырхан Ш.,Батырхан Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 7 222,00 KZT",-7222.0,KZT,Перевод,Батырхан Ш.,Батырхан Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"+ 7 222,00 KZT",7222.0,KZT,Пополнение,Батырхан Ш.,Батырхан Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"+ 800,00 KZT",800.0,KZT,Пополнение,Асет Б.,Асет Б.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 3 220,00 KZT",-3220.0,KZT,Покупка,YANDEX.GO,YANDEX.GO,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-17,"+ 3 000,00 KZT",3000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 65 267,00 KZT",-65267.0,KZT,Покупка,ИП TezMart,ИП TezMart,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-17,"+ 65 500,00 KZT",65500.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 1 970,00 KZT",-1970.0,KZT,Покупка,YANDEX.GO,YANDEX.GO,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-17,"+ 500,00 KZT",500.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 4 797,00 KZT",-4797.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement (2).pdf,супермаркеты
2024-11-17,"+ 5 000,00 KZT",5000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 880,00 KZT",-880.0,KZT,Покупка,YANDEX.GO,YANDEX.GO,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-17,"+ 440,00 KZT",440.0,KZT,Пополнение,Батырхан Ш.,Батырхан Ш.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"+ 900,00 KZT",900.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"- 60,00 KZT",-60.0,KZT,Покупка,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-17,"- 15 420,00 KZT",-15420.0,KZT,Покупка,DN-маркет,DN-маркет,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-17,"+ 16 000,00 KZT",16000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-17,"+ 590,00 KZT",590.0,KZT,,Replenishment Айару С.,Replenishment Айару С.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-17,"- 1 810,00 KZT",-1810.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement (3).pdf,супермаркеты
2024-11-17,"+ 162,00 KZT",162.0,KZT,,Replenishment Едіге Ə.,Replenishment Едіге Ə.,Kaspi Bank,gold_statement (3).pdf,покупки
2024-11-17,"- 2 830,00 KZT",-2830.0,KZT,,Purchases продукты,Purchases продукты,Kaspi Bank,gold_statement.pdf,покупки
2024-11-17,"- 4 200,00 KZT",-4200.0,KZT,Перевод,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"+ 500,00 KZT",500.0,KZT,Пополнение,Əли С.,Əли С.,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-17,"+ 1 953,00 KZT",1953.0,KZT,Пополнение,Interpay*Taxi,Interpay*Taxi,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-17,"+ 1 310,00 KZT",1310.0,KZT,Пополнение,Ерболат Ж.,Ерболат Ж.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"- 2 000,00 KZT",-2000.0,KZT,Покупка,Z-1 г. Астана,Z-1 г. Астана,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-17,"- 9 700,00 KZT",-9700.0,KZT,Перевод,Назерке Б.,Назерке Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"+ 7 966,00 KZT",7966.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"+ 4 200,00 KZT",4200.0,KZT,Пополнение,Ерасыл С.,Ерасыл С.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-17,"+ 110,00 KZT",110.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"- 350,00 KZT",-350.0,KZT,Перевод,Назерке Б.,Назерке Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-17,"+ 350,00 KZT",350.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-18,"- 4 000,00 KZT",-4000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Санжар Ж.,Санжар Ж.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Мирас М.,Мирас М.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Султан Х.,Султан Х.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Аружан Н.,Аружан Н.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"- 7 948,00 KZT",-7948.0,KZT,Покупка,Happy Cake,Happy Cake,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-18,"+ 9 000,00 KZT",9000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Амира Б.,Амира Б.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 500,00 KZT",500.0,KZT,Пополнение,Мерей Н.,Мерей Н.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"- 1 525,00 KZT",-1525.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement (2).pdf,супермаркеты
2024-11-18,"+ 1 525,00 KZT",1525.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"- 1 000,00 KZT",-1000.0,KZT,Перевод,Марал У.,Марал У.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-18,"- 110,00 KZT",-110.0,KZT,,Purchases Avtobys. Оплата проезда по QR,Purchases Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement (3).pdf,транспорт
2024-11-18,"- 150,00 KZT",-150.0,KZT,,Purchases Аппарат самообслуживания,Purchases Аппарат самообслуживания,Kaspi Bank,gold_statement (3).pdf,покупки
2024-11-18,"+ 10 000,00 KZT",10000.0,KZT,,Replenishment Айдос Т.,Replenishment Айдос Т.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-18,"+ 12 000,00 KZT",12000.0,KZT,,Replenishment Селим О.,Replenishment Селим О.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-18,"+ 3 000,00 KZT",3000.0,KZT,,Replenishment Аслан Д.,Replenishment Аслан Д.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-18,"- 10 000,00 KZT",-10000.0,KZT,,Transfers Аслан Д.,Transfers Аслан Д.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-18,"- 750,00 KZT",-750.0,KZT,,Purchases ИП Берсиновв,Purchases ИП Берсиновв,Kaspi Bank,gold_statement (3).pdf,покупки
2024-11-18,"- 1 130,00 KZT",-1130.0,KZT,,Purchases Апельсин,Purchases Апельсин,Kaspi Bank,gold_statement.pdf,покупки
2024-11-18,"+ 800,00 KZT",800.0,KZT,,Replenishment Аяулым М.,Replenishment Аяулым М.,Kaspi Bank,gold_statement.pdf,переводы
2024-11-18,"- 1 400,00 KZT",-1400.0,KZT,,Purchases Green Food,Purchases Green Food,Kaspi Bank,gold_statement.pdf,покупки
2024-11-18,"- 800,00 KZT",-800.0,KZT,,Purchases Green Food,Purchases Green Food,Kaspi Bank,gold_statement.pdf,покупки
2024-11-18,"- 2 314,00 KZT",-2314.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry,Kaspi Bank,gold_statement.pdf,супермаркеты
2024-11-18,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement_1.pdf,транспорт
2024-11-18,"- 3 000,00 KZT",-3000.0,KZT,Перевод,Рауан А.,Рауан А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-18,"- 6 000,00 KZT",-6000.0,KZT,Перевод,Назерке Б.,Назерке Б.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-18,"- 400,00 KZT",-400.0,KZT,Перевод,Диёра Т.,Диёра Т.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-18,"+ 10 000,00 KZT",10000.0,KZT,Пополнение,Рауан А.,Рауан А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-19,"- 3 043,00 KZT",-3043.0,KZT,Перевод,Дінмұхаммед С.,Дінмұхаммед С.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 2 000,00 KZT",2000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 3 000,00 KZT",-3000.0,KZT,Перевод,Диас Н.,Диас Н.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 3 000,00 KZT",3000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 1 410,00 KZT",-1410.0,KZT,Покупка,YANDEX.GO,YANDEX.GO,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-19,"+ 470,00 KZT",470.0,KZT,Пополнение,Айнур А.,Айнур А.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 470,00 KZT",470.0,KZT,Пополнение,Зинаэнур И.,Зинаэнур И.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 1 500,00 KZT",1500.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 100,00 KZT",100.0,KZT,Пополнение,Мерей Н.,Мерей Н.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 555,00 KZT",-555.0,KZT,Покупка,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-19,"+ 555,00 KZT",555.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 1 500,00 KZT",-1500.0,KZT,Покупка,The Barbara,The Barbara,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-19,"+ 1 000,00 KZT",1000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 4 000,00 KZT",-4000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 4 000,00 KZT",4000.0,KZT,Пополнение,Нұрайым И.,Нұрайым И.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"- 5 000,00 KZT",-5000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 4 980,00 KZT",4980.0,KZT,Пополнение,Алина С.,Алина С.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-19,"+ 500,00 KZT",500.0,KZT,Пополнение,Теміршін К.,Теміршін К.,Kaspi Bank,gold_statement (2).pdf,переводы
